slug,embed_url,image_url,banner_url,title,description,category,orientation,quality_score,width,height,date_published,date_modified,namespace,id
robo-tracker,https://play.gamepix.com/robo-tracker/embed?sid=1,https://img.gamepix.com/games/robo-tracker/icon/robo-tracker.png?w=105,https://img.gamepix.com/games/robo-tracker/cover/robo-tracker.png?w=320,and collect valuable items. Strategically plan your moves to thwart robotic foes and face off against powerful bosses in this thrilling platformer adventure.,landscape,0.32432432,800,,,,2025-08-19 13:32:36+00:00,,retro,blast enemy machines
wood-blocks-jam,https://play.gamepix.com/wood-blocks-jam/embed?sid=1,https://img.gamepix.com/games/wood-blocks-jam/icon/wood-blocks-jam.png?w=105,https://img.gamepix.com/games/wood-blocks-jam/cover/wood-blocks-jam.png?w=320,each presenting a fresh challenge and inviting creativity for hours of peaceful enjoyment.,all,0.32432432,800,,,,2025-08-19 13:22:45+00:00,,puzzle,a soothing puzzle experience where vibrant wooden blocks await your strategic touch. Match each block to its gate color at your own pace. Delve into countless levels
veggie-friends,https://play.gamepix.com/veggie-friends/embed?sid=1,https://img.gamepix.com/games/veggie-friends/icon/veggie-friends.png?w=105,https://img.gamepix.com/games/veggie-friends/cover/veggie-friends.png?w=320,as playful voices and colorful graphics make discovering healthy foods an engaging experience for all ages.,landscape,0.44444444,800,,,,2025-08-19 13:19:39+00:00,,educational,gathering and sorting vegetables while uncovering fun facts. Boost memory and coordination with captivating challenges
move-the-rubber-bands-logic-puzzle,https://play.gamepix.com/move-the-rubber-bands-logic-puzzle/embed?sid=1,https://img.gamepix.com/games/move-the-rubber-bands-logic-puzzle/icon/move-the-rubber-bands-logic-puzzle.png?w=105,https://img.gamepix.com/games/move-the-rubber-bands-logic-puzzle/cover/move-the-rubber-bands-logic-puzzle.png?w=320,brain-teasing experience.,all,0.32432432,800,,,,2025-08-08 15:04:39+00:00,,puzzle,testing your spatial awareness and logic. Challenge yourself with increasingly complex levels and find clever solutions in this engaging
time-master,https://play.gamepix.com/time-master/embed?sid=1,https://img.gamepix.com/games/time-master/icon/time-master.png?w=105,https://img.gamepix.com/games/time-master/cover/time-master.png?w=320,and savor the addictive challenge as you delve into the art of time mastery.,landscape,0.52830189,800,,,,2025-08-08 14:19:29+00:00,,escape,perfect your timing
creature-quest,https://play.gamepix.com/creature-quest/embed?sid=1,https://img.gamepix.com/games/creature-quest/icon/creature-quest.png?w=105,https://img.gamepix.com/games/creature-quest/cover/creature-quest.png?w=320,clever gameplay on-the-go!,portrait,0.24242424,600,,,,2025-08-08 14:14:42+00:00,,puzzle,"a delightful puzzle where strategic rope cutting meets physics-driven fun. Time your actions perfectly to collect stars and satisfy the creature""""s hunger. Perfect for quick"
haunted-brainrot-3d,https://play.gamepix.com/haunted-brainrot-3d/embed?sid=1,https://img.gamepix.com/games/haunted-brainrot-3d/icon/haunted-brainrot-3d.png?w=105,https://img.gamepix.com/games/haunted-brainrot-3d/cover/haunted-brainrot-3d.png?w=320,facing haunting adversaries at every corner. Can you keep your wits about you and find the way out before losing your sanity?,landscape,0.32894001,800,,,,2025-08-08 13:43:30+00:00,,escape,haunted prison without guidance
one-two-start,https://play.gamepix.com/one-two-start/embed?sid=1,https://img.gamepix.com/games/one-two-start/icon/one-two-start.png?w=105,https://img.gamepix.com/games/one-two-start/cover/one-two-start.png?w=320,and grab water bottles to keep your momentum. Can you conquer the 5km challenge? Let the race begin!,landscape,0.512345678901234,800,,,,2025-08-08 13:09:45+00:00,,platformer,gaining speed and stamina. Overcome obstacles with jumps and slides
shape-cutter,https://play.gamepix.com/shape-cutter/embed?sid=1,https://img.gamepix.com/games/shape-cutter/icon/shape-cutter.png?w=105,https://img.gamepix.com/games/shape-cutter/cover/shape-cutter.png?w=320,as you carefully carve to align pieces flawlessly and conquer each mesmerizing level. A captivating puzzle experience awaits!,landscape,0.32432432,800,,,,2025-08-08 11:23:43+00:00,,casual,guiding pieces toward glowing stars. Each cut challenges your creativity
guess-brainrot,https://play.gamepix.com/guess-brainrot/embed?sid=1,https://img.gamepix.com/games/guess-brainrot/icon/guess-brainrot.png?w=105,https://img.gamepix.com/games/guess-brainrot/cover/guess-brainrot.png?w=320,can you keep your cool and claim the title of the ultimate champion in this delightfully frenetic adventure?,portrait,0.34909165,600,,,,2025-08-08 11:05:29+00:00,,trivia,where chaos reigns in a whirlwind of quick quizzes and quirky mini-games. Challenge your reflexes and wit alongside viral sensations. With unpredictable twists at every turn
wednesday-addams-beauty-salon,https://play.gamepix.com/wednesday-addams-beauty-salon/embed?sid=1,https://img.gamepix.com/games/wednesday-addams-beauty-salon/icon/wednesday-addams-beauty-salon.png?w=105,https://img.gamepix.com/games/wednesday-addams-beauty-salon/cover/wednesday-addams-beauty-salon.png?w=320,and her signature fashion. Dive into a blend of gothic allure and iconic charm for a uniquely spooky makeover adventure.,landscape,0.24242424,800,,,,2025-08-08 10:54:59+00:00,,games-for-girls,striking dark makeup
shadow-soldier-revenge-of-the-ruins,https://play.gamepix.com/shadow-soldier-revenge-of-the-ruins/embed?sid=1,https://img.gamepix.com/games/shadow-soldier-revenge-of-the-ruins/icon/shadow-soldier-revenge-of-the-ruins.png?w=105,https://img.gamepix.com/games/shadow-soldier-revenge-of-the-ruins/cover/shadow-soldier-revenge-of-the-ruins.png?w=320,and conquer breathtaking battlefields in this heart-pounding first-person shooter experience.,landscape,0.512345678901234,800,,,,2025-08-08 10:20:42+00:00,,first-person-shooter,execute precise maneuvers
curvy-punch,https://play.gamepix.com/curvy-punch/embed?sid=1,https://img.gamepix.com/games/curvy-punch/icon/curvy-punch.png?w=105,https://img.gamepix.com/games/curvy-punch/cover/curvy-punch.png?w=320,"and land precise hits in a vibrant 3D cartoon world. It""""s a hilariously unpredictable fight where every swing counts!",all,0.31142067,800,,,,2025-08-06 18:11:47+00:00,,action,dodge
bid-wars-1-auction-simulator,https://play.gamepix.com/bid-wars-1-auction-simulator/embed?sid=1,https://img.gamepix.com/games/bid-wars-1-auction-simulator/icon/bid-wars-1-auction-simulator.png?w=105,https://img.gamepix.com/games/bid-wars-1-auction-simulator/cover/bid-wars-1-auction-simulator.png?w=320,and skillfully outbid competitors. Master the art of negotiation to turn your keen eye for antiques into jaw-dropping profits. Will you rise as the ultimate auction maestro?,all,0.24242424,800,,,,2025-08-06 18:04:25+00:00,,simulation,spot valuable items
pretty-sheep-run,https://play.gamepix.com/pretty-sheep-run/embed?sid=1,https://img.gamepix.com/games/pretty-sheep-run/icon/pretty-sheep-run.png?w=105,https://img.gamepix.com/games/pretty-sheep-run/cover/pretty-sheep-run.png?w=320,aiming for bigger rewards. Experience a delightfully fast-paced and strategic adventure.,all,0.32432432,800,,,,2025-08-06 17:57:16+00:00,,runner,"navigating endless platforms and dodging hazards. Convert numbers and enhance your gun""""s power and speed as you sprint to the finish. Merge guns for powerful upgrades"
fish-world,https://play.gamepix.com/fish-world/embed?sid=1,https://img.gamepix.com/games/fish-world/icon/fish-world.png?w=105,https://img.gamepix.com/games/fish-world/cover/fish-world.png?w=320,matching lightning-fast for bonus time. Feel the thrill as you aim for the highest score in this addictive match-3 escapade.,all,0.24242424,800,,,,2025-08-06 17:07:32+00:00,,match-3,an exhilarating undersea adventure where you race against time! Strategically connect vibrant fish in under 30 seconds
