id,title,category,original_url,final_url,can_embed,reason,status_code,check_time,featured
monster-survivors,Monster Survivors - Roguelike Action,action,https://cloud.onlinegames.io/games/2025/unity/monster-survivors/index-og.html,https://cloud.onlinegames.io/games/2025/unity/monster-survivors/index-og.html,True,OK - iframe compatible,200,20250907_121705,True
2048-game,2048 Game - Number Puzzle,puzzle,https://2048game.com/,https://2048game.com/,True,OK - iframe compatible,200,20250907_121705,True
bubble-shooter,Bubble Shooter Classic Free,puzzle,https://bubbleshooter.net/,https://www.bubbleshooter.net/,True,OK - iframe compatible,200,20250907_121705,True
endless-runner,Endless Runner Games 3D,action,https://html5games.com/Game/endless-runner/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,True
racing-car,Car Racing Games Unblocked,action,https://html5games.com/Game/racing-cars/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,True
racing-rivals,Racing Games Split Screen,multiplayer,https://html5games.com/Game/drift-racing/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,True
2048-classic-hosted,2048 Classic - Self Hosted,puzzle,/games/hosted/2048/index.html,/games/hosted/2048/index.html,False,Error: Invalid URL '/games/hosted/2048/index.html': No scheme supplied. Perhaps you meant https:///games/ho,0,20250907_121705,False
snake-classic-hosted,Snake Game Classic - Self Hosted,action,/games/hosted/snake/src/index.html,/games/hosted/snake/src/index.html,False,Error: Invalid URL '/games/hosted/snake/src/index.html': No scheme supplied. Perhaps you meant https:///gam,0,20250907_121705,False
tic-tac-toe-hosted,Tic Tac Toe - Self Hosted,multiplayer,/games/hosted/tic-tac-toe/index.html,/games/hosted/tic-tac-toe/index.html,False,Error: Invalid URL '/games/hosted/tic-tac-toe/index.html': No scheme supplied. Perhaps you meant https:///g,0,20250907_121705,False
car-racing-3d,Car Racing 3D,action,https://html5games.com/Game/car-racing-3d/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,False
soccer-physics,Soccer Physics,sports,https://html5games.com/Game/soccer-physics/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,False
stick-war-legacy,Stick War Legacy,strategy,https://html5games.com/Game/stick-war/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,False
fruit-ninja-html5,Fruit Ninja HTML5,action,https://html5games.com/Game/fruit-ninja/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,False
tower-defense-html5,Tower Defense HTML5,strategy,https://html5games.com/Game/tower-defense/,https://html5games.com/,True,OK - iframe compatible,200,20250907_121705,False
